date,id,matched_keywords,coder_A_label,coder_B_label,Gold_label,gpt_4_1_label,gpt_3_5_turbo_label,claude_sonnet_4_6_label,gemini_2_5_pro_label
2023-01-11,1612980000000000000,"['risk', 'responsibility', 'risk']",1,1,1,1,1,1,1
2023-02-15,1625810000000000000,['explain'],0,0,0,0,0,0,0
2023-03-27,1640210000000000000,['trustworthy'],1,1,1,1,0,1,1
2023-01-29,1619680000000000000,['automated'],1,0,1,0,1,1,1
2023-03-14,1635700000000000000,['biased'],1,1,1,1,1,1,1
2023-03-28,1640700000000000000,['trust'],0,0,0,0,0,0,0
2023-03-22,1638560000000000000,['explain'],0,0,0,0,0,0,0
2023-02-19,1627260000000000000,['fairly'],0,0,0,0,0,0,0
2023-02-24,1629150000000000000,"['labors', 'safiyanoble']",0,0,0,0,0,1,1
2023-01-19,1616090000000000000,['sustainability'],0,0,0,0,0,0,0
2023-01-29,1619570000000000000,['response'],0,0,0,0,0,0,0
2023-02-22,1628410000000000000,['justice'],0,0,0,0,1,0,0
2023-02-26,1629810000000000000,"['trust', 'trust']",1,1,1,1,0,1,1
2023-03-25,1639590000000000000,['automation'],0,0,0,0,0,0,0
2023-03-15,1635810000000000000,"['ethical', 'misinformation']",1,1,1,1,1,1,1
2023-03-02,1631360000000000000,['risk'],0,0,0,0,0,0,0
2023-01-24,1617840000000000000,"['response', 'biased']",1,1,1,1,0,1,1
2023-01-08,1612190000000000000,"['responsibly', 'ethically', 'ethics']",1,1,1,0,0,1,1
2023-01-25,1618040000000000000,['inject'],1,1,1,1,1,1,1
2023-01-24,1617770000000000000,['explain'],0,0,0,0,0,0,0
2023-03-12,1634990000000000000,['automate'],0,0,0,0,0,0,0
2023-02-04,1621930000000000000,['misinformation'],1,1,1,1,1,1,1
2023-03-20,1637760000000000000,"['ethics', 'safety']",1,1,1,1,0,1,1
2023-02-12,1624880000000000000,['bias'],1,1,1,0,0,1,1
2023-02-27,1630250000000000000,"['ethics', 'ethical']",0,0,0,0,1,1,0
2023-03-14,1635480000000000000,"['privacy', 'privacy']",1,1,1,1,1,1,1
2023-01-28,1619460000000000000,['explain'],0,0,0,0,0,0,0
2023-02-03,1621420000000000000,['response'],0,0,0,0,0,0,0
2023-03-08,1633300000000000000,['government'],0,0,0,0,0,0,0
2023-03-14,1635610000000000000,['ethical'],1,1,1,1,1,1,1
2023-03-12,1634860000000000000,['automations'],0,0,0,0,0,0,0
2023-01-31,1620280000000000000,['safe'],0,0,0,0,0,0,0
2023-02-16,1626170000000000000,"['regulations', 'governance']",0,0,0,0,0,0,0
2023-03-21,1638160000000000000,['misinformation'],1,1,1,1,1,1,1
2023-01-14,1614260000000000000,"['security', 'ethical']",1,1,1,1,1,1,1
2023-01-18,1615700000000000000,['labordeolivier'],0,0,0,0,0,0,0
2023-02-01,1620780000000000000,"['biased', 'bias', 'bias', 'response']",1,1,1,1,1,1,1
2023-01-06,1611170000000000000,['automated'],0,0,0,0,0,0,0
2023-01-26,1618550000000000000,['accounts'],0,0,0,0,0,0,0
2023-03-13,1635320000000000000,"['trustworthy', 'automation']",0,0,0,0,0,1,1
