date,id,username,like_count,retweet_count,matched_keywords,Gold_label
2023-03-18,1.63696E+18,TechRenOfficial,0,0,['ethics'],1
2023-02-19,1.62717E+18,raman9457,16,15,['biased'],1
2023-02-12,1624773341805690881,Inventiondm,0,0,"['governer', 'governor']",0
2023-02-04,1.62191E+18,Jonatha27561047,0,0,"['bias', 'bias']",1
2023-02-01,1.62088E+18,socworkpodcast,1,0,['response'],0
2023-01-16,1.61504E+18,OV_Brothers,1,0,['risky'],1
2023-01-28,1.61921E+18,natural_deposit,1,0,['copyright'],1
2023-01-05,1.61088E+18,digitalhealthxx,26,17,['labordeolivier'],0
2023-02-04,1.62173E+18,imshehrozsheikh,1,0,"['manipulated', 'biased']",0
2023-02-01,1.62058E+18,pfrostamis,0,0,['response'],0
2023-02-11,1.62438E+18,abishurprakash,1,0,['governments'],0
2023-03-18,1.63699E+18,psychedelic_ape,0,0,['fair'],0
2023-02-20,1.6275E+18,greg_fann,0,0,['response'],0
2023-02-05,1.62233E+18,floydmarinescu,13,3,['explain'],0
2023-02-02,1.6211E+18,pwk,1,0,['sustainability'],0
2023-01-15,1.61449E+18,KavitBang,0,0,"['ethical', 'ethics']",1
2023-02-02,1.6212E+18,ZainSaeed_,1,0,['biased'],1
2023-01-26,1.61854E+18,boomlive_in,1,0,['biases'],1
2023-02-22,1.62844E+18,GetwithGET,0,0,['harm'],1
2023-02-23,1.62887E+18,RegorSec,1,0,['secure'],1
