date,id,username,like_count,retweet_count,matched_keywords,gpt_label,gpt_3_5_label,SY_label,SH_label,Gold_label
2023-01-11,1.61298E+18,jerome_massot,0,0,"['risk', 'responsibility', 'risk']",1,1,1,1,1
2023-02-15,1.62581E+18,devmlops,1,1,['explain'],0,0,0,0,0
2023-03-27,1.64021E+18,usrbinkat,3,0,['trustworthy'],1,0,1,1,1
2023-01-29,1.61968E+18,genAI_insights,0,0,['automated'],0,1,1,0,1
2023-03-14,1.6357E+18,ErickRo96874203,0,0,['biased'],1,1,1,1,1
2023-03-28,1.6407E+18,CyberNoirArmy,2,0,['trust'],0,0,0,0,0
2023-03-22,1.63856E+18,DennisL73061433,0,0,['explain'],0,0,0,0,0
2023-02-19,1.62726E+18,SAMURAIGG4,0,0,['fairly'],0,0,0,0,0
2023-02-24,1.62915E+18,DanBuk4,2,1,"['labors', 'safiyanoble']",0,0,0,0,0
2023-01-19,1.61609E+18,TAHK2030,0,1,['sustainability'],0,0,0,0,0
2023-01-29,1.61957E+18,1ethiopia_,3,1,['response'],0,0,0,0,0
2023-02-22,1.62841E+18,NaomiLi14590801,0,0,['justice'],0,1,0,0,0
2023-02-26,1.62981E+18,Daviid_Smithh,0,0,"['trust', 'trust']",1,0,1,1,1
2023-03-25,1.63959E+18,HWdomains,1,0,['automation'],0,0,0,0,0
2023-03-15,1.63581E+18,colourmeamused_,1,0,"['ethical', 'misinformation']",1,1,1,1,1
2023-03-02,1.63136E+18,ArcadeSandwich,1,0,['risk'],0,0,0,0,0
2023-01-24,1.61784E+18,IndiaUnleashed_,8,4,"['response', 'biased']",1,0,1,1,1
2023-01-08,1.61219E+18,HedgeThink,0,1,"['responsibly', 'ethically', 'ethics']",0,0,1,1,1
2023-01-25,1.61804E+18,jvitech,0,0,['inject'],1,1,1,1,1
2023-01-24,1.61777E+18,o_emmaculate,0,0,['explain'],0,0,0,0,0
2023-03-12,1.63499E+18,LIGHT_YAGAAMI_,0,0,['automate'],0,0,0,0,0
2023-02-04,1.62193E+18,George_E_McD,0,0,['misinformation'],1,1,1,1,1
2023-03-20,1.63776E+18,CrazedPub,0,0,"['ethics', 'safety']",1,0,1,1,1
2023-02-12,1.62488E+18,koblovinamerica,1,0,['bias'],0,0,1,1,1
2023-02-27,1.63025E+18,BUexperts,11,4,"['ethics', 'ethical']",0,1,0,0,0
2023-03-14,1.63548E+18,8ra5hEmu5,0,0,"['privacy', 'privacy']",1,1,1,1,1
2023-01-28,1.61946E+18,IR_Nolden,1,0,['explain'],0,0,0,0,0
2023-02-03,1.62142E+18,Saman_Razavi,39,2,['response'],0,0,0,0,0
2023-03-08,1.6333E+18,wavetossed,1,1,['government'],0,0,0,0,0
2023-03-14,1.63561E+18,jaypalter,0,0,['ethical'],1,1,1,1,1
2023-03-12,1.63486E+18,hamerlik,2,0,['automations'],0,0,0,0,0
